"version","layers","activations","learningRate","initWeightsMethod","initWeightsMin","initWeightsMax","initBiases","epochs","miniBatchSize","accuracy","trainDuration"
"1","784-32-32-10","relu","0.5",,"-0.1","0.1","0.01","5000","32","0.9614","23.872"
"1","784-32-32-10","relu","0.5",,"-0.1","0.1","0.01","5000","32","0.9594","23.275"
"1","784-32-32-10","relu","0.5",,"-0.1","0.1","0.01","5000","32","0.9588","24.642"
"1","784-32-32-10","relu","0.75",,"-0.1","0.1","0.01","5000","32","0.9593","24.329"
"1","784-32-32-10","relu","0.25",,"-0.1","0.1","0.01","5000","32","0.9567","24.41"
"1","784-32-32-10","relu","0.5",,"-0.1","0.1","0.01","2500","32","0.9435","11.323"
"1","784-32-32-10","relu","0.25",,"-0.1","0.1","0.01","2500","32","0.9453","12.155"
"1","784-32-32-10","relu","0.75",,"-0.1","0.1","0.01","2500","32","0.7443","11.658"
"1","784-32-32-10","relu","0.5",,"-0.1","0.1","0.01","5000","32","0.8468","23.163"
"1","784-32-32-10","relu","0.5",,"-0.1","0.1","0.01","5000","32","0.8637","24.93"
"1","784-32-32-10","relu","0.5",,"-0.1","0.1","0.01","5000","32","0.8659","23.694"
"1","784-32-32-10","relu","0.5",,"-0.1","0.1","0.01","10000","32","0.9666","53.629"
"1","784-32-32-10","relu","0.5",,"-0.1","0.1","0.01","10000","32","0.9628","48.314"
"1","784-32-32-10","relu","0.8",,"-0.1","0.1","0.01","10000","32","0.8646","48.625"
"1","784-32-32-10","relu","0.25",,"-0.1","0.1","0.01","10000","32","0.7472","50.263"
"1","784-32-32-10","relu","0.55",,"-0.1","0.1","0.01","10000","32","0.8747","50.437"
"1","784-32-32-10","relu","0.45",,"-0.1","0.1","0.01","10000","32","0.9623","49.981"
"1","784-32-32-10","relu","0.475",,"-0.1","0.1","0.01","10000","32","0.9641","55.095"
"1","784-32-32-10","relu","0.5",,"-0.5","0.5","0.01","10000","32","0.098","48.739"
"1","784-32-32-10","relu","0.5",,"-0.05","0.05","0.01","10000","32","0.8704","47.974"
"1","784-500-150-10","relu","0.5",,"-0.1","0.1","0.01","1000","32","0.098","120.916"
"1","784-500-150-10","relu","0.5",,"-0.01","0.01","0.01","100","32","0.6266","15.566"
"1","784-500-150-10","relu","0.5",,"-0.01","0.01","0.01","1000","32","0.9429","110.159"
"2","784-32-32-10","relu","0.5",,"-0.1","0.1","0.01","5000","32","0.8722","23.291"
"2","784-32-32-10","relu","0.5",,"-0.1","0.1","0.0","5000","32","0.9612","23.388"
"2","784-32-32-10","relu","0.5",,"-0.1","0.1","0.0","15000","32","0.8715","71.016"
"2","784-32-32-10","relu","0.5",,"-0.1","0.1","0.01","5000","32","0.9588","25.076"
"2","784-32-32-10","relu","0.5",,"-0.1","0.1","0.0","5000","32","0.9586","25.352"
"2","784-32-32-10","relu","0.5",,"-0.1","0.1","0.01","5000","32","0.8593","24.404"
"2","784-32-32-10","relu","0.5",,"-0.1","0.1","0.01","5000","32","0.9579","25.143"
"2","784-32-32-10","relu","0.5",,"-0.1","0.1","0.0","5000","32","0.9415","24.349"
"2","784-32-32-10","relu","0.5",,"-0.1","0.1","0.0","5000","32","0.9577","24.659"
"2","784-32-32-10","relu","0.25",,"-0.1","0.1","0.0","5000","32","0.9545","26.005"
"2","784-32-32-10","relu","0.75",,"-0.1","0.1","0.0","5000","32","0.5793","25.627"
"2","784-32-32-10","relu","0.15",,"-0.1","0.1","0.0","5000","32","0.958","25.825"
"2","784-32-32-10","relu","0.05",,"-0.1","0.1","0.0","5000","32","0.9448","27.455"
"2","784-32-32-10","relu","0.05",,"-0.1","0.1","0.0","15000","32","0.9602","123.523"
"3","784-32-32-10","relu","0.5",,"-0.1","0.1","0.01","5000","32","0.2886","25.295"
"3","784-32-32-10","relu","0.1",,"-0.1","0.1","0.01","5000","32","0.8639","26.886"
"3","784-32-32-10","relu","0.1",,"-0.1","0.1","0.0","5000","32","0.693","23.383"
"3","784-32-32-10","relu","0.5",,"-0.1","0.1","0.0","5000","32","0.098","24.196"
"3","784-32-32-10","relu","0.05",,"-0.1","0.1","0.0","5000","32","0.8525","23.435"
"3","784-32-32-10","relu","0.01",,"-0.1","0.1","0.0","5000","32","0.9142","23.325"
"3","784-32-32-10","relu","0.001",,"-0.1","0.1","0.0","5000","32","0.6677","23.193"
"3","784-32-32-10","relu","0.005",,"-0.1","0.1","0.0","5000","32","0.5669","25.584"
"3","784-32-32-10","relu","0.009",,"-0.1","0.1","0.0","5000","32","0.9101","23.15"
"3","784-32-32-10","relu","0.02",,"-0.1","0.1","0.0","5000","32","0.6634","23.729"
"3","784-32-32-10","relu","0.015",,"-0.1","0.1","0.0","5000","32","0.8439","23.967"
"3","784-32-32-10","relu","0.0075",,"-0.1","0.1","0.0","5000","32","0.5415","23.653"
"3","784-32-32-10","relu","0.0095",,"-0.1","0.1","0.0","5000","32","0.7495","26.354"
"3","784-32-32-10","relu","0.01",,"-0.1","0.1","0.0","5000","32","0.9058","24.533"
"3","784-32-32-10","relu","0.01",,"-0.1","0.1","0.0","15000","32","0.8509","71.578"
"3","784-32-32-10","relu","0.01",,"-0.1","0.1","0.0","1000","32","0.7556","4.587"
"3","784-32-32-10","relu","0.02",,"-0.1","0.1","0.0","1000","32","0.8098","4.545"
"3","784-32-32-10","relu","0.04",,"-0.1","0.1","0.0","1000","32","0.8232","4.805"
"3","784-32-32-10","relu","0.08",,"-0.1","0.1","0.0","1000","32","0.5651","4.631"
"3","784-32-32-10","relu","0.03",,"-0.1","0.1","0.0","1000","32","0.8347","4.486"
"3","784-32-32-10","relu","0.05",,"-0.1","0.1","0.0","1000","32","0.9016","4.579"
"3","784-32-32-10","relu","0.055",,"-0.1","0.1","0.0","1000","32","0.8303","4.438"
"3","784-32-32-10","relu","0.0525",,"-0.1","0.1","0.0","1000","32","0.7979","4.593"
"3","784-32-32-10","relu","0.0525",,"-0.1","0.1","0.0","1000","64","0.6352","8.828"
"3","784-32-32-10","relu","0.05",,"-0.1","0.1","0.0","1000","64","0.8333","8.937"
"3","784-32-32-10","relu","0.05",,"-0.1","0.1","0.0","1000","32","0.8276","4.548"
"3","784-32-32-10","relu","0.05",,"-0.1","0.1","0.0","1000","32","0.7228","4.923"
"3","784-32-32-10","relu","0.05",,"-0.1","0.1","0.0","1000","32","0.7071","4.923"
"4","784-32-32-10","relu","0.5",,"-0.1","0.1","0.01","5000","32","0.098","24.817"
"4","784-32-32-10","relu","0.05",,"-0.1","0.1","0.01","5000","32","0.098","23.451"
"4","784-32-32-10","relu","0.005",,"-0.1","0.1","0.01","5000","32","0.3033","23.989"
"4","784-32-32-10","relu","5.0E-4",,"-0.1","0.1","0.01","5000","32","0.1793","23.153"
"4","784-32-32-10","relu","0.001",,"-0.1","0.1","0.01","5000","32","0.3319","25.769"
"4","784-32-32-10","relu","0.01",,"-0.1","0.1","0.01","5000","32","0.9163","23.463"
"4","784-32-32-10","relu","0.015",,"-0.1","0.1","0.01","5000","32","0.5664","22.679"
"4","784-32-32-10","relu","0.005",,"-0.1","0.1","0.01","5000","32","0.7291","21.994"
"4","784-32-32-10","relu","0.015",,"-0.1","0.1","0.01","5000","32","0.6498","22.066"
"4","784-32-32-10","relu","0.0125",,"-0.1","0.1","0.01","5000","32","0.7312","22.028"
"4","784-32-32-10","relu","0.01125",,"-0.1","0.1","0.01","5000","32","0.8368","22.038"
"4","784-32-32-10","relu","0.0105",,"-0.1","0.1","0.01","5000","32","0.6657","22.188"
"4","784-32-32-10","relu","0.01",,"-0.1","0.1","0.01","5000","32","0.7182","22.834"
"4","784-32-32-10","relu","0.01",,"-0.1","0.1","0.01","5000","32","0.7523","22.592"
"4","784-32-32-10","relu","0.015",,"-0.1","0.1","0.01","5000","32","0.9257","24.161"
"4","784-32-32-10","relu","0.02",,"-0.1","0.1","0.01","5000","32","0.9303","23.949"
"4","784-32-32-10","relu","0.05",,"-0.1","0.1","0.01","5000","32","0.7615","25.134"
"4","784-32-32-10","relu","0.01",,"-0.1","0.1","0.0","5000","32","0.9124","27.234"
"4","784-32-32-10","relu","0.025",,"-0.1","0.1","0.0","5000","32","0.6538","24.789"
"4","784-32-32-10","relu","0.015",,"-0.1","0.1","0.0","5000","32","0.8299","24.796"
"4","784-32-32-10","relu","0.005",,"-0.1","0.1","0.0","5000","32","0.8926","24.51"
"4","784-32-32-10","relu","0.0075",,"-0.1","0.1","0.0","5000","32","0.6388","24.179"
"4","784-32-32-10","relu","0.0075",,"-0.1","0.1","0.0","5000","32","0.7091","23.229"
"4","784-32-32-10","relu","0.009",,"-0.1","0.1","0.0","5000","32","0.7427","25.165"
"4","784-32-32-10","relu","0.01",,"-0.1","0.1","0.0","5000","32","0.5187","25.284"
"4","784-32-32-10","relu","0.01",,"-0.1","0.1","0.01","5000","32","0.7593","24.651"
"4","784-32-32-10","relu","0.01",,"-0.1","0.1","0.01","5000","32","0.7259","23.663"
"4","784-32-32-10","relu","0.01",,"-0.1","0.1","0.01","5000","32","0.6509","22.042"
"4","784-32-32-10","relu","0.01",,"-0.1","0.1","0.01","5000","32","0.8893","21.852"
"4","784-32-32-10","relu","0.01",,"-0.1","0.1","0.01","50000","32","0.5847","269.321"
"4","784-32-32-10","relu","0.5",,"-0.1","0.1","0.01","5000","32","0.098","26.577"
"4","784-32-32-10","relu","0.5",,"-0.1","0.1","0.01","5000","32","0.098","25.111"
"4","784-32-32-10","relu","0.5",,"-0.1","0.1","0.01","5000","32","0.098","25.154"
"4","784-32-32-10","relu","0.05",,"-0.1","0.1","0.01","5000","32","0.9457","25.533"
"4","784-32-32-10","relu","0.1",,"-0.1","0.1","0.01","5000","32","0.869","24.068"
"4","784-32-32-10","relu","0.02",,"-0.1","0.1","0.01","5000","32","0.6714","24.828"
"4","784-32-32-10","relu","0.05",,"-0.1","0.1","0.01","5000","32","0.9402","24.859"
"4","784-32-32-10","relu","0.06",,"-0.1","0.1","0.01","5000","32","0.7681","24.423"
"4","784-32-32-10","relu","0.04",,"-0.1","0.1","0.01","5000","32","0.9376","26.367"
"4","784-32-32-10","relu","0.045",,"-0.1","0.1","0.01","5000","32","0.9412","24.361"
"4","784-32-32-10","relu","0.01",,"-0.1","0.1","0.01","50000","16","0.8602","125.309"
"4","784-32-32-10","relu","0.05",,"-0.1","0.1","0.01","50000","16","0.8717","128.827"
"4","784-32-32-10","relu","0.05",,"-0.1","0.1","0.01","5000","16","0.7196","12.024"
"4","784-32-32-10","relu","0.5",,"-0.1","0.1","0.01","5000","16","0.098","12.89"
"4","784-32-32-10","relu","0.1",,"-0.1","0.1","0.01","5000","16","0.9445","11.762"
"4","784-32-32-10","relu","2.9",,"-0.1","0.1","0.01","50000","1","0.098","65.549"
"4","784-32-32-10","relu","0.5",,"-0.1","0.1","0.01","5000","32","0.098","24.531"
"4","784-32-32-10","relu","0.5",,"-0.1","0.1","0.01","5000","32","0.9537","24.722"
"4","784-32-32-10","relu","0.5",,"-0.1","0.1","0.01","5000","32","0.9566","24.693"
"4","784-32-32-10","relu","0.54",,"-0.1","0.1","0.01","5000","32","0.852","108.759"
"4","784-32-32-10","relu","0.54",,"-0.1","0.1","0.01","5000","32","0.9592","24.794"
"4","784-32-32-10","relu","0.54",,"-0.1","0.1","0.01","5000","16","0.7813","11.768"
"4","784-32-32-10","relu","0.75",,"-0.1","0.1","0.01","5000","16","0.5707","12.584"
"4","784-32-32-10","relu","0.6",,"-0.1","0.1","0.01","5000","16","0.7546","12.039"
"4","784-32-32-10","relu","0.54",,"-0.1","0.1","0.01","5000","32","0.8664","24.356"
"4","784-32-32-10","relu","0.54",,"-0.1","0.1","0.01","5000","32","0.8613","24.06"
"4","784-32-32-10","relu","0.5",,"-0.1","0.1","0.01","5000","32","0.8608","23.174"
"4","784-32-32-10","relu","0.5",,"-0.1","0.1","0.01","5000","32","0.8663","25.349"
"4","784-32-32-10","relu","0.5",,"-0.1","0.1","0.01","5000","32","0.9575","26.044"
"4","784-32-32-10","relu","0.51",,"-0.1","0.1","0.01","5000","32","0.956","23.577"
"4","784-32-32-10","relu","0.52",,"-0.1","0.1","0.01","5000","32","0.8492","23.857"
"4","784-32-32-10","relu","0.51",,"-0.1","0.1","0.01","15000","32","0.9645","70.336"
"4","784-32-32-10","relu","0.5",,"-0.1","0.1","0.01","5000","32","0.9572","26.002"
"4","784-32-32-10","relu","0.5",,"-0.1","0.1","0.01","5000","32","0.8505","24.103"
"4","784-32-32-10","relu","0.5",,"-0.1","0.1","0.01","5000","32","0.9555","25.082"
"4","784-32-32-10","relu","0.15",,"-0.1","0.1","0.01","5000","32","0.8639","58.723"
"4","784-32-32-10","relu","0.1",,"-0.1","0.1","0.0","500","32","0.9282","15.962"
"4","784-32-32-10","relu","0.1",,"-0.1","0.1","0.0","500","32","0.7301","2.599"
"4","784-32-32-10","relu","0.1",,"-0.1","0.1","0.0","1000","32","0.8479","4.768"
"4","784-32-32-10","relu","0.2",,"-0.1","0.1","0.0","1000","32","0.9278","5.005"
"4","784-32-32-10","relu","0.2",,"-0.1","0.1","0.0","2500","32","0.8658","13.307"
"4","784-32-32-10","relu","0.2",,"-0.1","0.1","0.0","2500","32","0.9479","13.289"
"4","784-32-32-10","relu","0.2",,"-0.1","0.1","0.0","2500","32","0.8714","12.492"
"4","784-32-32-10","relu","0.025",,"-0.1","0.1","0.0","2500","32","0.9692","78.992"
"4","784-32-32-10","relu","0.5","uniform","-0.1","0.1","0.01","5000","32","0.957","23.338"
"5","784-32-32-10","relu","0.5","uniform","-0.1","0.1","0.01","5000","32","0.0","0.0"
"5","784-32-32-10","relu","0.5","uniform","-0.1","0.1","0.01","5000","32","0.0","0.0"
